Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AFL,2020-12,8.934B,111.02B,0,1.36,1.36,0,2020-12,952.00M,10.55B,-61.00M,-61.00M,601.00M,7.899B,5.625B,1.217B,265.00M,6.003B,0,33.56B,165.09B,135.00M,111.82B,5.625B,131.53B,145.50B,16.68B,90.00M,5.625B,796.00M
AFL,2020-09,7.917B,108.69B,0,3.45,3.44,0,2020-09,2.456B,10.82B,-63.00M,-63.00M,584.00M,7.825B,5.773B,1.153B,-1.303B,5.627B,0,32.48B,160.96B,135.00M,109.52B,5.773B,128.48B,141.61B,16.53B,-38.00M,5.773B,824.00M
AFL,2020-06,6.75B,105.49B,0,1.12,1.12,0,2020-06,805.00M,10.72B,-63.00M,-63.00M,584.00M,7.771B,7.503B,1.07B,265.00M,5.364B,0,29.42B,157.09B,135.00M,106.38B,7.503B,127.67B,137.89B,16.40B,-43.00M,7.503B,894.00M
AFL,2020-03,4.188B,100.44B,0,0.78,0.78,0,2020-03,566.00M,10.75B,-55.00M,-55.00M,586.00M,6.758B,7.579B,720.00M,154.00M,5.122B,0,26.40B,151.62B,135.00M,101.25B,7.579B,125.21B,133.91B,15.50B,-40.00M,7.579B,813.00M
AFL,2019-12,6.615B,96.16B,0,1.07,1.06,0,2019-12,781.00M,9.569B,-57.00M,-57.00M,581.00M,6.569B,7.246B,1.057B,276.00M,5.587B,0,28.96B,152.77B,135.00M,96.99B,7.246B,123.81B,134.67B,15.47B,-16.00M,7.246B,828.00M
AFL,2019-09,7.251B,98.16B,0,1.05,1.04,0,2019-09,777.00M,8.284B,-57.00M,-57.00M,562.00M,6.233B,7.926B,1.036B,259.00M,5.519B,0,29.44B,154.14B,135.00M,99.06B,7.926B,124.70B,136.62B,15.52B,-17.00M,7.926B,908.00M
AFL,2019-06,6.364B,95.45B,0,1.1,1.09,0,2019-06,817.00M,7.622B,-57.00M,-57.00M,562.00M,6.231B,6.80B,1.109B,292.00M,5.493B,0,28.24B,151.40B,135.00M,96.34B,6.80B,123.16B,135.16B,15.70B,-18.00M,6.80B,883.00M
AFL,2019-03,4.481B,91.82B,0,1.23,1.23,0,2019-03,928.00M,7.18B,-58.00M,-58.00M,559.00M,5.90B,7.151B,1.242B,314.00M,5.64B,0,26.05B,145.68B,135.00M,92.67B,7.151B,119.63B,129.07B,15.38B,-17.00M,7.151B,858.00M
AFL,2018-12,2.151B,87.23B,0,0.69,0.69,0,2018-12,525.00M,6.919B,-58.00M,-58.00M,443.00M,5.778B,5.072B,722.00M,197.00M,5.129B,0,23.46B,140.41B,135.00M,88.08B,5.072B,116.94B,123.78B,15.45B,3.00M,5.072B,851.00M
AFL,2018-09,1.909B,86.78B,0,1.1,1.09,0,2018-09,845.00M,0,-53.00M,-53.00M,435.00M,5.279B,5.857B,1.146B,301.00M,5.562B,0,23.23B,137.94B,135.00M,87.57B,5.857B,114.71B,116.36B,15.03B,-15.00M,5.857B,784.00M
