Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MTB,2021-03,-63.03M,32.67B,58.96M,3.33,3.33,4.605B,2.139B,2021-03,447.25M,97.66B,1.162B,3.499B,2.001B,592.55M,145.30M,1.487B,569.89M,16.45B,150.48B,16.45B,32.67B,2.060B,134.03B,117.81B,131.97B,572.63M,2.001B,7.949B
MTB,2020-12,175.50M,30.04B,0,3.52,3.52,4.607B,2.032B,2020-12,471.14M,95.55B,1.147B,4.382B,2.166B,620.52M,149.38M,1.541B,509.15M,16.19B,142.60B,1.331B,37.99B,2.226B,126.41B,109.44B,124.19B,512.28M,2.166B,5.555B
MTB,2020-09,244.63M,26.99B,46.12M,2.75,2.75,4.610B,1.492B,2020-09,372.14M,96.69B,1.155B,5.459B,1.857B,486.88M,114.75M,1.464B,502.87M,16.10B,138.63B,1.331B,32.54B,1.904B,122.53B,111.38B,120.62B,506.79M,1.857B,5.657B
MTB,2020-06,209.83M,28.06B,52.30M,1.74,1.74,4.614B,0,2020-06,241.05M,96.12B,1.155B,6.321B,2.250B,312.37M,71.31M,1.444B,482.89M,15.95B,139.54B,1.331B,33.72B,2.303B,123.59B,111.64B,121.29B,486.80M,2.250B,5.672B
MTB,2020-03,-206.68M,16.33B,59.18M,1.93,1.93,4.618B,0,2020-03,268.82M,92.76B,1.141B,6.321B,2.198B,349.75M,80.93M,1.506B,571.49M,15.82B,124.58B,1.331B,22.01B,2.257B,108.76B,108.71B,106.50B,575.40M,2.198B,7.056B
MTB,2019-12,-80.31M,14.94B,0,3.6,3.6,4.622B,0,2019-12,493.07M,88.46B,1.074B,6.885B,2.337B,652.19M,159.12M,1.530B,508.57M,15.72B,119.87B,1.331B,22.00B,2.502B,104.16B,104.19B,101.65B,512.88M,2.337B,5.409B
MTB,2019-09,-112.96M,21.30B,5.514B,3.47,3.47,4.626B,0,2019-09,480.08M,88.78B,1.067B,7.003B,2.091B,635.05M,154.97M,1.558B,508.77M,15.78B,125.50B,1.331B,26.71B,7.605B,109.72B,105.78B,102.12B,513.86M,2.091B,4.886B
MTB,2019-06,-288.01M,17.44B,4.611B,3.34,3.34,4.632B,0,2019-06,473.26M,88.85B,1.045B,7.656B,1.915B,625.54M,152.28M,1.554B,489.56M,15.69B,121.55B,1.313B,22.33B,6.527B,105.86B,106.61B,99.34B,494.63M,1.915B,5.040B
MTB,2019-03,-420.08M,17.20B,3.603B,3.35,3.35,4.637B,0,2019-03,482.74M,87.62B,647.41M,8.476B,1.889B,634.48M,151.74M,1.551B,528.90M,15.59B,120.03B,1.313B,22.24B,5.492B,104.44B,106.12B,98.95B,533.92M,1.889B,6.181B
MTB,2018-12,0,18.39B,4.20B,3.76,3.76,4.640B,0,2018-12,546.22M,86.04B,0,8.036B,1.637B,699.39M,153.18M,1.540B,474.68M,15.46B,120.10B,1.313B,24.57B,6.445B,104.64B,104.21B,98.19B,480.03M,1.637B,0
MTB,2018-09,-542.40M,16.99B,1.310B,3.54,3.53,4.646B,1.487B,2018-09,526.09M,85.66B,634.42M,9.140B,1.801B,696.35M,170.26M,1.488B,472.00M,15.44B,116.83B,1.313B,21.84B,3.111B,101.39B,104.14B,98.28B,478.15M,1.801B,4.852B
MTB,2018-06,-517.94M,17.70B,3.239B,3.26,3.26,4.652B,1.437B,2018-06,493.16M,86.78B,637.81M,8.382B,1.954B,654.62M,161.46M,1.466B,459.86M,15.58B,118.43B,1.313B,22.59B,5.193B,102.85B,105.50B,97.65B,466.25M,1.954B,4.888B
MTB,2018-03,-483.24M,17.72B,1.626B,2.24,2.23,4.658B,0,2018-03,352.61M,86.69B,628.71M,8.591B,1.749B,457.87M,105.26M,1.434B,499.96M,15.71B,118.62B,1.313B,22.74B,3.375B,102.91B,106.19B,99.54B,506.59M,1.749B,5.009B
MTB,2017-12,-363.81M,17.40B,1.50B,2.01,2.01,4.665B,0,2017-12,322.40M,85.55B,646.45M,7.720B,1.594B,628.69M,306.29M,1.456B,445.48M,16.25B,118.59B,1.313B,23.83B,2.191B,102.34B,105.65B,100.15B,452.51M,1.594B,6.439B
