Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AIZ,2020-12,709.80M,16.01B,200.00M,0,2.268,2.23,4.442B,2020-12,139.20M,754.30M,-26.80M,-26.80M,493.30M,45.40M,2.253B,6.525B,183.40M,44.40M,2.553B,0,5.951B,44.65B,3.50M,27.41B,6.525B,38.70B,20.39B,19.92B,-2.00M,6.525B,11.40B
AIZ,2020-09,658.20M,15.55B,200.00M,0,-0.58,-0.58,4.247B,2020-09,-30.20M,771.10M,-25.50M,-25.50M,468.40M,81.90M,2.009B,6.243B,-4.10M,26.40M,2.500B,0,5.936B,43.58B,4.50M,26.92B,6.243B,37.64B,19.76B,19.49B,-139.90M,6.243B,11.37B
AIZ,2020-06,568.90M,14.98B,0,0,2.87,2.81,4.563B,2020-06,178.10M,790.10M,-26.70M,-26.70M,450.10M,0,2.008B,5.925B,226.80M,48.40M,2.469B,0,5.968B,44.23B,4.50M,26.04B,6.125B,38.25B,21.41B,18.91B,-2.40M,5.925B,11.06B
AIZ,2020-03,88.40M,13.89B,0,0,2.48,2.43,4.610B,2020-03,154.70M,795.10M,-25.50M,-25.50M,438.10M,0,2.008B,5.863B,109.20M,-46.60M,2.561B,0,5.37B,43.42B,4.50M,25.07B,6.063B,38.04B,20.79B,19.03B,-4.20M,5.863B,11.18B
AIZ,2019-12,411.50M,14.59B,0,0,2.01,1.98,4.888B,2019-12,127.60M,815.00M,-25.40M,-25.40M,433.70M,0,2.007B,6.345B,178.80M,50.00M,2.609B,0,5.653B,44.29B,4.50M,25.88B,6.345B,38.61B,21.86B,18.93B,2.60M,6.345B,11.29B
AIZ,2019-09,405.20M,14.44B,0,0,-0.96,-0.96,5.141B,2019-09,-54.80M,804.60M,-32.20M,-32.20M,418.80M,0,2.006B,6.365B,-24.60M,28.60M,2.495B,0,5.659B,43.75B,4.50M,25.71B,6.365B,38.06B,22.04B,18.68B,-35.80M,6.365B,11.28B
AIZ,2019-06,328.70M,14.08B,0,0,2.24,2.21,5.457B,2019-06,144.10M,783.10M,-26.50M,-26.50M,419.20M,0,2.007B,6.090B,183.30M,40.70M,2.541B,0,5.730B,43.14B,4.50M,24.98B,6.090B,37.38B,22.35B,18.25B,-4.70M,6.090B,10.91B
AIZ,2019-03,103.40M,13.45B,0,0,2.57,2.52,5.796B,2019-03,165.70M,758.10M,-26.50M,-26.50M,409.80M,0,2.007B,5.868B,217.00M,48.40M,2.428B,0,5.441B,42.24B,4.50M,24.22B,5.868B,36.77B,22.23B,17.98B,-7.80M,5.868B,10.77B
AIZ,2018-12,-155.40M,12.88B,0,0,0.32,0.32,6.102B,2018-12,25.00M,759.60M,-26.30M,-26.30M,392.50M,0,2.006B,5.724B,42.90M,16.30M,2.306B,0,5.112B,41.09B,4.50M,23.69B,5.724B,35.96B,21.55B,17.93B,-10.70M,5.724B,10.81B
AIZ,2018-09,-97.70M,13.03B,0,0,0.76,0.76,6.861B,2018-09,53.00M,757.90M,-26.50M,-26.50M,381.70M,0,2.005B,6.596B,75.80M,22.80M,2.258B,0,5.219B,43.44B,4.50M,25.93B,6.596B,38.20B,22.29B,17.86B,-12.70M,6.596B,12.90B
AIZ,2018-06,-137.90M,12.89B,0,0,1.09,1.09,6.996B,2018-06,67.00M,720.10M,-26.00M,-26.00M,370.60M,94.70M,2.005B,6.746B,78.30M,11.30M,1.817B,0,5.312B,42.36B,4.50M,25.44B,6.746B,37.03B,22.04B,16.95B,-15.00M,6.746B,12.55B
AIZ,2018-03,51.70M,11.71B,0,0,1.99,1.96,1.222B,2018-03,106.00M,682.20M,-21.50M,-21.50M,355.20M,109.60M,2.004B,5.522B,136.50M,30.50M,1.620B,0,4.490B,32.43B,4.40M,22.27B,5.522B,27.93B,13.40B,9.372B,-18.50M,5.522B,10.56B
AIZ,2017-12,234.00M,10.94B,0,0,5.79,5.76,1.231B,2017-12,312.90M,670.20M,-12.30M,-12.30M,347.60M,128.10M,1.068B,6.339B,158.30M,-154.60M,1.656B,0,4.271B,31.84B,1.50M,22.10B,6.339B,27.56B,13.70B,8.415B,-20.40M,6.339B,11.15B
AIZ,2017-09,256.40M,10.99B,0,0,-1.05,-1.05,1.249B,2017-09,-57.30M,685.00M,-12.20M,-12.20M,358.40M,148.50M,1.068B,7.708B,-107.60M,-50.30M,1.563B,0,4.138B,32.41B,1.50M,22.97B,7.708B,28.27B,13.44B,8.322B,-23.10M,7.708B,11.98B
AIZ,2017-06,236.90M,10.63B,0,0,2.18,2.16,1.250B,2017-06,120.20M,661.70M,-12.40M,-12.40M,355.50M,170.10M,1.137B,5.599B,178.70M,58.50M,1.577B,0,4.225B,30.06B,1.50M,20.95B,5.599B,25.83B,12.89B,8.178B,-23.40M,5.599B,10.33B
AIZ,2017-03,148.30M,10.60B,0,0,2.56,2.53,1.255B,2017-03,143.80M,641.20M,-12.60M,-12.60M,348.80M,194.10M,1.067B,5.503B,215.10M,71.30M,1.514B,0,4.159B,29.57B,1.50M,20.72B,5.503B,25.41B,12.74B,7.992B,-37.00M,5.503B,10.12B
AIZ,2016-12,94.60M,10.83B,0,0,0.54,0.54,1.103B,2016-12,31.30M,624.00M,-13.90M,-13.90M,343.60M,232.20M,1.067B,5.768B,54.60M,23.30M,1.667B,0,4.098B,29.71B,1.50M,21.15B,5.768B,25.61B,12.65B,8.037B,-108.30M,5.768B,10.32B
AIZ,2016-09,328.11M,11.43B,0,0,2.4,2.37,1.137B,2016-09,144.40M,635.18M,-14.00M,-14.00M,337.10M,318.41M,1.166B,5.963B,220.90M,76.50M,1.698B,0,4.505B,30.28B,1.503M,21.81B,5.963B,25.78B,13.27B,8.034B,-135.80M,5.963B,10.37B
AIZ,2016-06,327.25M,11.48B,0,0,2.72,2.7,1.121B,2016-06,169.30M,660.53M,-15.20M,-15.20M,327.86M,439.27M,1.165B,5.725B,235.50M,66.20M,1.672B,0,4.608B,29.80B,1.502M,21.42B,5.725B,25.20B,13.17B,8.008B,-125.80M,5.725B,9.946B
AIZ,2016-03,225.24M,11.55B,0,0,3.38,3.34,1.153B,2016-03,220.40M,913.32M,-14.50M,-14.50M,312.32M,564.12M,1.415B,5.891B,337.60M,117.20M,2.070B,0,4.565B,30.29B,1.50M,21.57B,5.891B,25.72B,12.67B,8.389B,-18.00M,5.891B,10.02B
AIZ,2015-12,118.55M,12.01B,0,0,0.99,0.97,1.152B,2015-12,65.79M,1.195B,-13.76M,-13.76M,298.41M,92.33M,1.165B,6.473B,110.23M,44.44M,2.545B,0,4.524B,30.04B,1.497M,20.77B,6.473B,25.51B,14.34B,7.775B,-3.257M,6.473B,8.755B
AIZ,2015-09,246.04M,12.61B,0,0,-0.1,-0.1,1.186B,2015-09,-7.022M,1.278B,-13.78M,-13.78M,286.75M,91.07M,1.171B,6.826B,-32.25M,-25.23M,2.531B,0,4.684B,30.59B,1.497M,21.19B,6.826B,25.90B,14.80B,7.805B,-3.243M,6.826B,8.584B
AIZ,2015-06,348.42M,12.49B,0,0,0.48,0.47,1.216B,2015-06,32.79M,1.312B,-13.78M,-13.78M,289.42M,94.32M,1.171B,6.718B,40.02M,7.236M,2.642B,0,4.828B,30.84B,1.496M,21.29B,6.718B,26.01B,14.93B,7.791B,-3.242M,6.718B,8.803B
AIZ,2015-03,549.00M,12.70B,0,0,0.72,0.71,1.203B,2015-03,50.04M,1.302B,-13.78M,-13.78M,286.19M,97.56M,1.171B,6.612B,83.19M,33.15M,2.595B,0,5.128B,30.80B,1.493M,21.48B,6.612B,25.67B,15.35B,7.615B,-3.258M,6.612B,8.779B
AIZ,2014-12,555.77M,12.93B,0,0,0.7,0.69,1.269B,2014-12,49.76M,1.321B,-13.78M,-13.78M,277.64M,100.82M,1.171B,7.019B,90.35M,40.59M,2.635B,0,5.181B,31.56B,1.49M,21.64B,7.019B,26.38B,15.82B,7.877B,12.46M,7.019B,8.715B
AIZ,2014-09,659.75M,13.50B,0,0,1.94,1.92,1.233B,2014-09,140.30M,1.302B,-13.78M,-13.78M,274.42M,411.44M,1.171B,6.104B,224.75M,84.45M,2.699B,0,5.343B,30.67B,1.49M,20.99B,6.104B,25.33B,15.78B,8.445B,-3.645M,6.104B,7.490B
AIZ,2014-06,764.07M,13.57B,0,0,1.98,1.95,1.225B,2014-06,143.61M,1.298B,-13.78M,-13.78M,262.12M,416.93M,1.171B,6.087B,193.79M,50.18M,2.604B,0,5.350B,30.62B,1.489M,20.92B,6.087B,25.27B,15.82B,8.357B,-3.644M,6.087B,7.345B
AIZ,2014-03,583.48M,13.27B,0,0,1.88,1.86,1.182B,2014-03,137.24M,1.308B,-17.06M,-17.06M,255.51M,347.29M,1.171B,5.679B,235.25M,98.01M,2.445B,0,5.096B,29.67B,1.486M,20.22B,5.679B,24.57B,15.69B,8.208B,-3.66M,5.679B,6.954B
AIZ,2013-12,426.83M,13.48B,0,0,1.48,1.46,1.193B,2013-12,108.82M,1.339B,-20.37M,-20.37M,253.63M,99.31M,1.638B,5.721B,178.54M,69.72M,2.397B,0,4.833B,29.71B,1.482M,20.31B,5.721B,24.88B,15.26B,8.477B,-4.072M,5.721B,6.832B
AIZ,2013-09,386.31M,13.71B,0,0,1.7,1.68,1.022B,2013-09,128.79M,1.320B,-20.77M,-20.77M,253.87M,148.26M,1.638B,5.677B,193.97M,65.18M,2.255B,0,4.783B,29.35B,1.482M,20.37B,5.677B,24.57B,15.62B,8.313B,-4.074M,5.677B,6.668B
AIZ,2013-06,420.51M,13.47B,0,120.22M,1.72,1.7,968.50M,2013-06,133.52M,1.318B,-21.52M,-21.52M,250.56M,140.37M,1.647B,5.450B,210.77M,77.24M,2.234B,596.11M,4.796B,28.73B,1.48M,20.03B,5.450B,23.93B,15.32B,8.079B,-4.072M,5.450B,6.567B
AIZ,2013-03,778.03M,13.99B,0,124.82M,1.47,1.46,994.67M,2013-03,117.78M,1.343B,-15.08M,-15.08M,250.48M,291.03M,1.671B,5.665B,206.42M,88.64M,2.147B,598.73M,5.207B,29.48B,1.478M,20.75B,5.665B,24.27B,15.57B,8.197B,-4.092M,5.665B,6.767B
AIZ,2012-12,830.40M,13.38B,0,129.41M,0.31,0.31,965.82M,2012-12,24.99M,1.365B,-15.08M,-15.08M,250.80M,276.91M,972.40M,5.918B,34.82M,9.836M,2.156B,588.55M,5.185B,28.95B,1.474M,20.39B,5.918B,23.76B,15.63B,7.503B,-4.596M,5.918B,7.005B
AIZ,2012-09,858.86M,1.324B,0,139.14M,1.54,1.52,975.24M,2012-09,126.29M,1.356B,-15.08M,-15.08M,246.97M,183.56M,972.37M,5.365B,208.62M,82.33M,2.140B,0,5.230B,28.17B,1.473M,2.134B,5.485B,22.94B,15.44B,7.147B,-4.60M,5.365B,809.80M
AIZ,2012-06,676.43M,1.612B,0,144.25M,1.96,1.94,985.93M,2012-06,169.17M,1.356B,-15.07M,-15.07M,241.72M,52.34M,972.34M,5.086B,264.66M,95.49M,2.125B,0,5.034B,27.24B,1.472M,2.308B,5.211B,22.21B,14.82B,6.804B,-4.596M,5.086B,695.81M
AIZ,2012-03,597.22M,1.449B,0,149.36M,1.84,1.81,1.013B,2012-03,163.26M,1.368B,-15.08M,-15.08M,236.46M,134.03M,972.31M,5.166B,249.65M,86.39M,2.068B,0,4.965B,27.25B,1.463M,2.121B,5.296B,22.29B,14.83B,6.631B,-4.621M,5.166B,672.20M
